shot_idx,start_sec,end_sec,duration_sec,mid_frame,caption,camera,emotion,colors,entities,location,lighting,composition
0,0.0,2.836,2.836,data/processed/frames/frame_00002.jpg,A silhouetted figure in a crouched pose,dolly,"energetic, intense","black, yellow, brown","person, wall, square openings, light, room, holes","This scene is indoor.

Setting description: Dimly lit",Strong backlit silhouette.,Full shot backlit silhouette
1,2.836,5.214,2.377,data/processed/frames/frame_00005.jpg,A silhouetted woman with long hair stands in,dolly,confident,"yellow, black, brown","woman, wall, square openings, light, room","This scene is **indoor**.

Setting description:",bright golden backlit silhouette,Full body backlit silhouette
2,5.214,6.59,1.376,data/processed/frames/frame_00006.jpg,A silhouetted figure stands in a stylized,zoom-in,"sensual, confident","brown, black, white","person, wall, square openings, light, room, holes","This scene is indoor.

Setting description:",intense golden backlighting,backlit full body silhouette
3,6.59,9.343,2.753,data/processed/frames/frame_00008.jpg,"A woman with long, dark wavy hair looks over her",handheld,contemplative,"black, brown, tan","woman, long dark hair, earring, wall","This scene is indoor.

Setting description",dim warm moody lighting,close-up face shot
4,9.343,11.136,1.793,data/processed/frames/frame_00011.jpg,"A woman stands in profile, her skin",tilt,neutral,"black, gold, brown","woman, gold outfit, hand, glowing wall, shadows","Based on the image, the scene is **indoor**.",Warm golden side lighting,Close-up torso side profile
5,11.136,15.182,4.046,data/processed/frames/frame_00014.jpg,"A woman with long, dark hair and shimmering skin looks",zoom-out,seductive,"black, yellow, brown","Woman, long dark hair, cave, rocks, warm light, water droplets","This scene is outdoor.

Setting description:",dim warm golden glow,Over-shoulder medium close-up
6,15.182,17.392,2.211,data/processed/frames/frame_00017.jpg,"A person with long, dark hair is silhouetted against",dolly,anxious,"black, brown, yellow","person, rock wall, cave, light, smoke, sand","This scene is indoor.

Setting description: Dark,",bright warm backlit cave,wide shot cave interior
7,17.392,22.189,4.796,data/processed/frames/frame_00020.jpg,"A close-up shot features a woman with long, dark",handheld,contemplative,"black, brown, tan","woman, hair, face, eyes, nose, lips, background","Based on the image, this scene",Warm golden side lighting,Close-up portrait shot
8,22.189,23.774,1.585,data/processed/frames/frame_00023.jpg,"A silhouetted figure with long, dark hair",pan,fearful,"black, orange, brown","person, rock wall, light source, smoke, cave opening","This scene is indoor.

**Setting description:** Dark,",Dramatic warm backlighting,"Medium shot, backlit silhouette."
9,23.774,26.86,3.086,data/processed/frames/frame_00026.jpg,"A woman with long, dark wavy hair",handheld,Seductive,"black, brown, white","Woman, hair, earring, finger, background wall, lights","This scene is indoor.

**Setting",Warm golden backlit glow.,Close-up face shot
