shot_idx,start_sec,end_sec,duration_sec,mid_frame,caption,camera,emotion,colors,entities,location,lighting,composition
0,0.0,2.836,2.836,data/processed/frames/frame_00002.jpg,A silhouetted figure with long hair is captured,static,energetic,"yellow, brown, black","person, wall, light, square openings, floor, ceiling","This scene is **indoor**.

Setting description: **",Dramatic warm backlighting,Full body wide shot
1,2.836,5.214,2.377,data/processed/frames/frame_00005.jpg,"A woman with long, wet dark hair tilts her",dolly,sensual or blissful,"brown, black, tan","woman, hair, earring, wall, water droplets","Based on the image, this scene is **indoor**.",Dramatic warm spotlight,low-angle close-up portrait
2,5.214,6.59,1.376,data/processed/frames/frame_00006.jpg,"A person in an intricate, shimmering gold filigree costume is",tilt,neutral,"black, gold, brown","person, ornate jewelry, golden light, water droplets, hand, arm","Based on the image, this scene is **",Warm golden backlight.,Close-up torso side view
3,6.59,9.343,2.753,data/processed/frames/frame_00008.jpg,A silhouetted figure with long hair crouches against,dolly,anxious,"black, orange, brown","Person, cave walls, light, smoke, ground","This scene is indoor. Dark, rocky cave interior",Dramatic warm backlighting,Silhouetted figure in cave
4,9.343,11.136,1.793,data/processed/frames/frame_00011.jpg,"A woman with long, dark hair looks over her bare shoulder",static,contemplative,"black, brown, tan","woman, hair, face, shoulder, background","This scene is indoor.

Setting description:",warm golden studio light,close-up portrait shot
5,11.136,15.182,4.046,data/processed/frames/frame_00014.jpg,"A woman with long, dark wavy hair and dramatic",handheld,contemplative,"black, brown, white","woman, hair, hand, earring, wall, light openings","This scene is indoor.

Setting description: Dimly",warm golden backlighting,close-up face shot
6,15.182,17.392,2.211,data/processed/frames/frame_00017.jpg,A silhouetted figure with long hair crouches,dolly,fearful/anxious,"black, orange, yellow","person, rock walls, light, smoke, ground","This scene is indoor.

Setting description: Dark,",warm hazy golden backlighting,narrow vertical framed shot
7,17.392,22.189,4.796,data/processed/frames/frame_00020.jpg,"A woman with long, dark wavy hair and a direct",handheld,sultry,"black, brown, tan","woman, hair, hand, top, wall","This scene is **indoor**.

Setting description",dim warm golden light,over-shoulder close-up shot
8,22.189,23.774,1.585,data/processed/frames/frame_00023.jpg,"A woman with long, dark, wavy hair tilts her head",handheld,confident,"black, brown, white","woman, long hair, earring, wall, light patterns","This scene is indoor.

Setting description: Warmly lit",warm golden natural light,close-up tilted face shot
9,23.774,26.86,3.086,data/processed/frames/frame_00026.jpg,An extreme close-up shows a woman with,handheld,"intense, seductive","black, orange, brown","Woman, hair, eye, earring, water droplets, golden light","This scene is outdoor.

**Setting description:** Golden hour",warm golden glow,extreme close-up face shot
10,26.86,29.821,2.961,data/processed/frames/frame_00029.jpg,A silhouetted figure with long hair stands within a narrow,dolly,contemplative,"black, white, orange","person, rock walls, bright light, mist, silhouette","This scene is **indoor** (specifically, inside",Warm golden backlighting.,backlit medium silhouette shot
11,29.821,31.24,1.418,data/processed/frames/frame_00031.jpg,"A woman with long, dark, wavy hair",handheld,confident,"black, brown, tan","woman, hair, shoulder, wall, light patterns","This scene is indoor.

**Setting description:** Dim",warm golden dramatic lighting,close-up face shot
12,31.24,32.532,1.293,data/processed/frames/frame_00032.jpg,A woman with long dark hair and pink nails poses against a,zoom-in,"confident, seductive","white, black, brown","Woman, bikini top, jeans, jewelry, wall, hair","This scene is indoor.

Setting description: Plain, textured",bright golden sunlight,over-shoulder medium shot
13,32.532,35.41,2.878,data/processed/frames/frame_00034.jpg,A close-up shot from behind shows a dancer',handheld,neutral,"gold, brown, black","Woman, glitter, costume, skin, hair","This scene is indoor.

Setting description: Dark, golden",Warm golden stage light.,Close-up back view
14,35.41,37.913,2.502,data/processed/frames/frame_00037.jpg,"A woman with long, dark hair and a short white dress",dolly,seductive or confident,"yellow, black, white","woman, dress, cave walls, golden light, long hair","This scene is **indoor**.

**Setting description:** Dim",warm golden backlit glow,"medium shot, side profile"
15,37.913,39.915,2.002,data/processed/frames/frame_00039.jpg,"A woman with long, dark hair poses provocatively",handheld,sultry,"black, brown, white","woman, hair, hand, face, wall, light openings","Based on the image, the scene is",Warm golden backlit glow,close-up over-shoulder portrait
16,39.915,47.589,7.674,data/processed/frames/frame_00044.jpg,"A woman with long, dark, disheveled hair",zoom-in,intense gaze,"black, brown, white","woman, long dark hair, light-colored top, cave walls, shadows, warm light","This scene is indoor.

Setting description: Dim",warm golden cave light,Medium shot of woman
17,47.589,49.633,2.044,data/processed/frames/frame_00049.jpg,"A young woman with long, dark wavy",handheld,joyful,"black, brown, tan","Woman, hair, earring, teeth, background","Based on the lighting and background,",warm golden glow,close-up of face
18,49.633,51.593,1.96,data/processed/frames/frame_00051.jpg,"A woman with long, dark hair and an eyebrow piercing",handheld,intense,"beige, black, white","woman, off-the-shoulder top, wall, background wall, square openings","Based on the image, this scene is **indoor**.",warm sepia-toned interior light,medium shot portrait
19,51.593,56.306,4.713,data/processed/frames/frame_00054.jpg,"A woman with long, wavy blonde hair poses in",dolly,neutral,"beige, white, gold","woman, bikini top, fringed pants, concrete wall, doorway, crack, bright light source","This scene is indoor.

**Setting",soft warm backlighting,medium shot of woman
20,56.306,61.728,5.422,data/processed/frames/frame_00060.jpg,"A woman with long, dark hair and braided details gazes",handheld,"intense, fierce","black, yellow, brown","woman, hair, top, light source, shadows","This scene is indoor.

**Setting","warm, dramatic backlighting","medium shot, high angle"
21,61.728,63.272,1.543,data/processed/frames/frame_00063.jpg,"A woman with long, dark hair and a light-",pan,contemplative,"brown, black, white","woman, long hair, light-colored outfit, textured wall, bright doorway, sandy floor","This scene is indoor.

Setting",warm golden backlight,medium shot side profile
22,63.272,65.732,2.461,data/processed/frames/frame_00065.jpg,"A woman with long, dark, wavy hair is captured",handheld,contemplative,"black, brown, tan","woman, hair, face, earring, clothing, background","Based on the lighting and background, this",dim warm moody lighting,tight close-up face
23,65.732,67.15,1.418,data/processed/frames/frame_00067.jpg,"Two women, one with long blonde waves and the other with",handheld,intimate,"gold, black, brown","two women, gold bikini tops, blonde hair, dark hair, necklace, warm lighting",Indoor. Warmly lit intimate space.,Dim warm golden glow,close-up two-shot
24,67.15,70.362,3.212,data/processed/frames/frame_00069.jpg,A woman with long dark hair performs a dynamic dance pose,zoom-in,Soulful*: Fits the vibe of the dance and lighting.,"brown, white, black","woman, dress, sand, walls, doorway","This scene is indoor.

Setting description: Sandy, rustic",warm golden backlight,Medium wide action shot
25,70.362,71.822,1.46,data/processed/frames/frame_00072.jpg,"Two women lean against textured, light-colored walls flanking a",zoom-in,contemplative,"white, tan, black","Blonde woman, dark-haired woman,","This scene is indoor.

Setting description:",Bright golden hazy light,medium shot two women
26,71.822,76.827,5.005,data/processed/frames/frame_00075.jpg,"A blonde woman with long, wavy hair stands in a dark",dolly,seductive,"white, black, blue","woman, white dress, waterfall, rocks, mist","This scene is **outdoor**.

**",Bright cool backlighting,"medium shot, centered subject"
27,76.827,79.788,2.961,data/processed/frames/frame_00079.jpg,"A woman with long, light-colored hair reclines",handheld,distressed,"black, white, blue","woman, blonde hair, white dress,","This scene is **indoor** (specifically,",Dramatic ethereal side lighting,high-angle medium shot.
28,79.788,81.665,1.877,data/processed/frames/frame_00081.jpg,"A woman with long, wavy blonde hair",handheld,neutral,"white, black, brown","woman, long blonde hair, rock face, light, smoke, draped clothing","This scene is indoor.

Setting description: Misty,",Bright backlit hazy glow,backlit medium profile shot
29,81.665,84.084,2.419,data/processed/frames/frame_00083.jpg,"A woman with long, wavy hair is captured",handheld,joyful,"white, black, brown","woman, white dress, long hair, bright light, dark background","This scene appears to be indoor.

Setting description:",Bright white backlighting,medium shot of woman
30,84.084,86.67,2.586,data/processed/frames/frame_00086.jpg,Two women in gold bikini tops are dancing against,handheld,joyful,"white, brown, black","blonde woman, dark-haired woman, bikini tops, wall, long hair, fingernails","Based on the image, this scene appears to be **indoor",bright golden sunlight,medium shot two women
31,86.67,88.046,1.376,data/processed/frames/frame_00088.jpg,"A woman with long, backlit blonde hair stands in a",pan,contemplative,"white, black, blue","woman, long hair, white garment, waterfall, rocks, mist","This scene is **outdoor**.

**Setting description:** Dark",Bright ethereal backlighting,backlit medium shot figure
32,88.046,94.845,6.798,data/processed/frames/frame_00092.jpg,"A woman with long, light-colored hair leans back",tracking,distressed,"black, white, brown","woman, blonde hair, rock, arm, white strap,","This scene is indoor.

Setting description: Dark, rocky",Dramatic backlit cave scene,low-angle medium profile shot
33,94.845,96.722,1.877,data/processed/frames/frame_00096.jpg,"A woman with long, flowing blonde hair stands in a dark",static,contemplative,"black, white, blue","Woman, long blonde hair, white dress, rocks, bright light, mist","This scene is outdoor.

Setting description: Dark, misty",bright ethereal backlighting,medium shot woman profile
