shot_idx,start_sec,end_sec,duration_sec,vision_caption,vision_camera_from_vlm,vision_emotion,vision_colors,vision_entities,vision_location,vision_lighting,vision_composition,camera_motion,camera_pan_score,camera_tilt_score,camera_zoom_score,audio_top_mood,audio_mood_happy and bright,audio_mood_sad and melancholic,audio_mood_aggressive and intense,audio_mood_romantic and tender,audio_mood_triumphant and epic,audio_mood_calm and peaceful,audio_mood_tense and anxious,audio_mood_dreamy and ethereal,audio_mood_dark and ominous,audio_mood_playful and whimsical,audio_mood_lonely and introspective,audio_mood_powerful and confident,music_avg_rms,music_n_beats,cut_on_beat,n_lyric_segments,lyric_text
0,0.0,2.836,2.836,A silhouetted figure with long hair is captured,static,energetic,"yellow, brown, black","person, wall, light, square openings, floor, ceiling","This scene is **indoor**.

Setting description: **",Dramatic warm backlighting,Full body wide shot,handheld,-0.029,0.443,-0.089,powerful and confident,0.1572,0.0005,0.0003,0.0044,0.0003,0.0001,0.0038,0.0019,0.0354,0.0445,0.0,0.2458,0.0945,6,False,1,Deep down you want me
1,2.836,5.214,2.378,"A woman with long, wet dark hair tilts her",dolly,sensual or blissful,"brown, black, tan","woman, hair, earring, wall, water droplets","Based on the image, this scene is **indoor**.",Dramatic warm spotlight,low-angle close-up portrait,tilt-up,-0.511,0.35,-0.014,powerful and confident,0.0826,0.0007,0.0002,0.0027,0.0002,0.0001,0.0067,0.0013,0.0197,0.0224,0.0,0.1241,0.27074,8,True,0,
2,5.214,6.59,1.376,"A person in an intricate, shimmering gold filigree costume is",tilt,neutral,"black, gold, brown","person, ornate jewelry, golden light, water droplets, hand, arm","Based on the image, this scene is **",Warm golden backlight.,Close-up torso side view,pan-left,-0.495,0.116,0.007,tense and anxious,0.008,0.0008,0.0001,0.0011,0.0,0.0002,0.0096,0.0008,0.004,0.0003,0.0,0.0024,0.32771,4,False,0,
3,6.59,9.343,2.753,A silhouetted figure with long hair crouches against,dolly,anxious,"black, orange, brown","Person, cave walls, light, smoke, ground","This scene is indoor. Dark, rocky cave interior",Dramatic warm backlighting,Silhouetted figure in cave,static,-0.037,0.009,-0.005,tense and anxious,0.008,0.0008,0.0001,0.0011,0.0,0.0002,0.0096,0.0008,0.004,0.0003,0.0,0.0024,0.29932,8,False,0,
4,9.343,11.136,1.793,"A woman with long, dark hair looks over her bare shoulder",static,contemplative,"black, brown, tan","woman, hair, face, shoulder, background","This scene is indoor.

Setting description:",warm golden studio light,close-up portrait shot,pan-left,-0.715,0.359,-0.532,powerful and confident,0.1126,0.0007,0.0005,0.0012,0.0,0.0001,0.0064,0.002,0.0055,0.0007,0.0001,0.1799,0.31639,7,False,0,
5,11.136,15.182,4.046,"A woman with long, dark wavy hair and dramatic",handheld,contemplative,"black, brown, white","woman, hair, hand, earring, wall, light openings","This scene is indoor.

Setting description: Dimly",warm golden backlighting,close-up face shot,pan-right,0.223,-0.131,0.152,powerful and confident,0.1503,0.0005,0.0008,0.001,0.0,0.0001,0.0026,0.0023,0.0051,0.0013,0.0001,0.3789,0.3197,10,False,1,Dictive baby what you want me to do not a quick fix one hit my room when you have less than a less than you
6,15.182,17.392,2.21,A silhouetted figure with long hair crouches,dolly,fearful/anxious,"black, orange, yellow","person, rock walls, light, smoke, ground","This scene is indoor.

Setting description: Dark,",warm hazy golden backlighting,narrow vertical framed shot,static,0.0,0.0,0.0,powerful and confident,0.0835,0.0003,0.0008,0.0006,0.0,0.0001,0.0019,0.0015,0.0032,0.0013,0.0002,0.4002,0.27563,7,False,1,Dictive baby what you want me to do not a quick fix one hit my room when you have less than a less than you
7,17.392,22.189,4.797,"A woman with long, dark wavy hair and a direct",handheld,sultry,"black, brown, tan","woman, hair, hand, top, wall","This scene is **indoor**.

Setting description",dim warm golden light,over-shoulder close-up shot,pan-left,-0.116,-0.193,0.253,powerful and confident,0.1141,0.0002,0.0015,0.0005,0.0,0.0001,0.0011,0.0014,0.0025,0.0032,0.0002,0.3796,0.27781,12,True,2,Dictive baby what you want me to do not a quick fix one hit my room when you have less than a less than you | Don't need to learn when you're playing with fire. You're begging to find out
8,22.189,23.774,1.585,"A woman with long, dark, wavy hair tilts her head",handheld,confident,"black, brown, white","woman, long hair, earring, wall, light patterns","This scene is indoor.

Setting description: Warmly lit",warm golden natural light,close-up tilted face shot,zoom-out,-0.09,-0.228,1.0,powerful and confident,0.1446,0.0001,0.0022,0.0004,0.0001,0.0,0.0004,0.0014,0.0019,0.005,0.0001,0.359,0.29478,4,True,2,Don't need to learn when you're playing with fire. You're begging to find out | You're safe save her the heartbreak. There's a sweet change
9,23.774,26.86,3.086,An extreme close-up shows a woman with,handheld,"intense, seductive","black, orange, brown","Woman, hair, eye, earring, water droplets, golden light","This scene is outdoor.

**Setting description:** Golden hour",warm golden glow,extreme close-up face shot,tilt-up,0.487,-0.736,-0.611,powerful and confident,0.0953,0.0001,0.0025,0.0005,0.0001,0.0,0.0006,0.0009,0.0016,0.0033,0.0001,0.4585,0.27063,8,False,1,You're safe save her the heartbreak. There's a sweet change
