shot_idx,start_sec,end_sec,duration_sec,vision_caption,vision_camera_from_vlm,vision_emotion,vision_colors,vision_entities,vision_location,vision_lighting,vision_composition,camera_motion,camera_pan_score,camera_tilt_score,camera_zoom_score,audio_top_mood,audio_mood_happy and bright,audio_mood_sad and melancholic,audio_mood_aggressive and intense,audio_mood_romantic and tender,audio_mood_triumphant and epic,audio_mood_calm and peaceful,audio_mood_tense and anxious,audio_mood_dreamy and ethereal,audio_mood_dark and ominous,audio_mood_playful and whimsical,audio_mood_lonely and introspective,audio_mood_powerful and confident,music_avg_rms,music_n_beats,cut_on_beat,n_lyric_segments,lyric_text
0,0.0,2.836,2.836,A silhouetted figure in a crouched pose,dolly,"energetic, intense","black, yellow, brown","person, wall, square openings, light, room, holes","This scene is indoor.

Setting description: Dimly lit",Strong backlit silhouette.,Full shot backlit silhouette,static,0.0,0.0,0.0,powerful and confident,0.1572,0.0005,0.0003,0.0044,0.0003,0.0001,0.0038,0.0019,0.0354,0.0445,0.0,0.2458,0.0945,6,False,1,Deep down you want me
1,2.836,5.214,2.378,A silhouetted woman with long hair stands in,dolly,confident,"yellow, black, brown","woman, wall, square openings, light, room","This scene is **indoor**.

Setting description:",bright golden backlit silhouette,Full body backlit silhouette,tilt-down,0.016,0.766,-0.073,powerful and confident,0.0826,0.0007,0.0002,0.0027,0.0002,0.0001,0.0067,0.0013,0.0197,0.0224,0.0,0.1241,0.27074,8,True,0,
2,5.214,6.59,1.376,A silhouetted figure stands in a stylized,zoom-in,"sensual, confident","brown, black, white","person, wall, square openings, light, room, holes","This scene is indoor.

Setting description:",intense golden backlighting,backlit full body silhouette,tilt-up,-0.813,-1.0,0.006,tense and anxious,0.008,0.0008,0.0001,0.0011,0.0,0.0002,0.0096,0.0008,0.004,0.0003,0.0,0.0024,0.32771,4,False,0,
3,6.59,9.343,2.753,"A woman with long, dark wavy hair looks over her",handheld,contemplative,"black, brown, tan","woman, long dark hair, earring, wall","This scene is indoor.

Setting description",dim warm moody lighting,close-up face shot,zoom-out,-0.376,0.418,0.264,tense and anxious,0.008,0.0008,0.0001,0.0011,0.0,0.0002,0.0096,0.0008,0.004,0.0003,0.0,0.0024,0.29932,8,False,0,
4,9.343,11.136,1.793,"A woman stands in profile, her skin",tilt,neutral,"black, gold, brown","woman, gold outfit, hand, glowing wall, shadows","Based on the image, the scene is **indoor**.",Warm golden side lighting,Close-up torso side profile,tilt-down,-0.942,0.72,-0.232,powerful and confident,0.1126,0.0007,0.0005,0.0012,0.0,0.0001,0.0064,0.002,0.0055,0.0007,0.0001,0.1799,0.31639,7,False,0,
5,11.136,15.182,4.046,"A woman with long, dark hair and shimmering skin looks",zoom-out,seductive,"black, yellow, brown","Woman, long dark hair, cave, rocks, warm light, water droplets","This scene is outdoor.

Setting description:",dim warm golden glow,Over-shoulder medium close-up,zoom-out,0.193,0.038,0.441,powerful and confident,0.1503,0.0005,0.0008,0.001,0.0,0.0001,0.0026,0.0023,0.0051,0.0013,0.0001,0.3789,0.3197,10,False,1,Dictive baby what you want me to do not a quick fix one hit my room when you have less than a less than you
6,15.182,17.392,2.21,"A person with long, dark hair is silhouetted against",dolly,anxious,"black, brown, yellow","person, rock wall, cave, light, smoke, sand","This scene is indoor.

Setting description: Dark,",bright warm backlit cave,wide shot cave interior,static,0.0,0.0,0.0,powerful and confident,0.0835,0.0003,0.0008,0.0006,0.0,0.0001,0.0019,0.0015,0.0032,0.0013,0.0002,0.4002,0.27563,7,False,1,Dictive baby what you want me to do not a quick fix one hit my room when you have less than a less than you
7,17.392,22.189,4.797,"A close-up shot features a woman with long, dark",handheld,contemplative,"black, brown, tan","woman, hair, face, eyes, nose, lips, background","Based on the image, this scene",Warm golden side lighting,Close-up portrait shot,pan-left,-0.338,0.039,-0.675,powerful and confident,0.1141,0.0002,0.0015,0.0005,0.0,0.0001,0.0011,0.0014,0.0025,0.0032,0.0002,0.3796,0.27781,12,True,2,Dictive baby what you want me to do not a quick fix one hit my room when you have less than a less than you | Don't need to learn when you're playing with fire. You're begging to find out
8,22.189,23.774,1.585,"A silhouetted figure with long, dark hair",pan,fearful,"black, orange, brown","person, rock wall, light source, smoke, cave opening","This scene is indoor.

**Setting description:** Dark,",Dramatic warm backlighting,"Medium shot, backlit silhouette.",static,0.0,0.0,0.0,powerful and confident,0.1446,0.0001,0.0022,0.0004,0.0001,0.0,0.0004,0.0014,0.0019,0.005,0.0001,0.359,0.29478,4,True,2,Don't need to learn when you're playing with fire. You're begging to find out | You're safe save her the heartbreak. There's a sweet change
9,23.774,26.86,3.086,"A woman with long, dark wavy hair",handheld,Seductive,"black, brown, white","Woman, hair, earring, finger, background wall, lights","This scene is indoor.

**Setting",Warm golden backlit glow.,Close-up face shot,static,0.0,0.432,0.158,powerful and confident,0.0953,0.0001,0.0025,0.0005,0.0001,0.0,0.0006,0.0009,0.0016,0.0033,0.0001,0.4585,0.27063,8,False,1,You're safe save her the heartbreak. There's a sweet change
